Accession,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Collection_Date
NC_009942,West Nile virus,11029,complete,USA,USA,,,
NC_001563,West Nile virus,10962,complete,,,,,
MW561633,West Nile virus,10964,complete,Slovakia,Slovakia,,Strix nebulosa lapponica,2018-11-16
MZ605381,West Nile virus,11029,complete,USA,USA,,Phoenicopterus roseus,1999
MZ605382,West Nile virus,11025,complete,Hungary,Hungary,,Accipiter gentilis,2004
MW383507,West Nile virus,10671,complete,Namibia,Namibia,,Culex univittatus,2020
MW383508,West Nile virus,10886,complete,Namibia,Namibia,,Culex univittatus,2020
MT905060,West Nile virus,10893,complete,"Brazil: Espirito Santo state, Joao Neiva municipality",Brazil,,Equus caballus,2019-06-13
MN939557,West Nile virus,10996,complete,Italy,Italy,,Homo sapiens,2018
MN939558,West Nile virus,10984,complete,Italy,Italy,,Homo sapiens,2016
MN939559,West Nile virus,10984,complete,Italy,Italy,,Homo sapiens,2016
MN939560,West Nile virus,11003,complete,Italy,Italy,,Homo sapiens,2016
MN939561,West Nile virus,11011,complete,Italy,Italy,,Homo sapiens,2018
MN939562,West Nile virus,10984,complete,Italy,Italy,,Homo sapiens,2018
MN939563,West Nile virus,11008,complete,Italy,Italy,,Homo sapiens,2018
MN939564,West Nile virus,11008,complete,Italy,Italy,,Homo sapiens,2016
MK947397,West Nile virus,11017,complete,Slovenia,Slovenia,,Homo sapiens,2018-08-23
MW142223,West Nile virus,11005,complete,Germany,Germany,,Homo sapiens,2020-08
MW142224,West Nile virus,11005,complete,Germany,Germany,,Homo sapiens,2020-08
MW142226,West Nile virus,11005,complete,Germany,Germany,,Homo sapiens,2020-08
MW142227,West Nile virus,11005,complete,Germany,Germany,,Homo sapiens,2020-08
MT863559,West Nile virus,10923,complete,France,France,,Equus caballus,2015-10-03
MT863560,West Nile virus,10997,complete,France,France,,Buteo buteo,2018-09-08
MT863561,West Nile virus,10995,complete,France,France,,Accipiter gentilis,2018-10-06
MN619801,West Nile virus,11046,complete,Russia: Volgograd region,Russia,,Culex pipiens,2018
MN619802,West Nile virus,11043,complete,Russia: Volgograd region,Russia,,Culex pipiens,2018
MN619803,West Nile virus,11073,complete,Russia: Volgograd region,Russia,,Culex pipiens,2018
MN849176,West Nile virus,10785,complete,USA: Washington DC,USA,DC,Aedes albopictus,2019-09
LR743421,West Nile virus,11029,complete,,,,,
LR743422,West Nile virus,11010,complete,,,,,
LR743423,West Nile virus,11027,complete,,,,,
LR743424,West Nile virus,11079,complete,,,,,
LR743425,West Nile virus,11060,complete,,,,,
LR743426,West Nile virus,11022,complete,,,,,
LR743427,West Nile virus,11019,complete,,,,,
LR743428,West Nile virus,11067,complete,,,,,
LR743429,West Nile virus,10930,complete,,,,,
LR743430,West Nile virus,11025,complete,,,,,
